,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,new norfolk,-42.7826,147.0587,43.92,78,82,4.0,AU,1627165736
1,victoria,22.2855,114.1577,82.38,93,96,4.0,HK,1627165668
2,rikitea,-23.1203,-134.9692,69.26,54,0,1.43,PF,1627165737
3,punta arenas,-53.15,-70.9167,37.51,81,75,16.11,CL,1627165445
4,bredasdorp,-34.5322,20.0403,40.32,93,15,3.44,ZA,1627165737
5,ryotsu,38.0833,138.4333,82.36,82,6,2.68,JP,1627165738
6,albany,42.6001,-73.9662,80.55,58,87,1.99,US,1627165496
7,kawanoe,34.0167,133.5667,79.2,77,97,2.35,JP,1627165738
8,luderitz,-26.6481,15.1594,64.45,25,20,5.37,NA,1627165739
9,edd,13.9297,41.6925,88.47,68,100,3.15,ER,1627165739
10,hermanus,-34.4187,19.2345,50.9,56,14,5.68,ZA,1627165739
11,college,64.8569,-147.8028,64.99,69,75,8.05,US,1627165577
12,mocuba,-16.8392,36.9856,58.96,91,55,5.3,MZ,1627165740
13,nikolskoye,59.7035,30.7861,56.01,68,42,3.98,RU,1627165740
14,kuusamo,65.9667,29.1833,57.24,72,90,9.22,FI,1627165740
15,hithadhoo,-0.6,73.0833,81.75,78,48,10.78,MV,1627165741
16,alta floresta,-9.8756,-56.0861,82.63,32,44,3.22,BR,1627165741
17,puerto ayora,-0.7393,-90.3518,82.36,82,24,8.01,EC,1627165653
18,iqaluit,63.7506,-68.5145,46.13,81,90,13.8,CA,1627165741
19,butaritari,3.0707,172.7902,83.57,74,86,14.63,KI,1627165742
20,geraldton,-28.7667,114.6,54.12,94,90,10.36,AU,1627165742
21,hervey bay,-25.2986,152.8535,60.91,54,0,8.9,AU,1627165742
22,isangel,-19.55,169.2667,82.51,74,40,5.75,VU,1627165743
23,doha,25.2867,51.5333,94.98,65,28,8.05,QA,1627165743
24,saint anthony,45.0205,-93.218,92.93,25,1,3.0,US,1627165743
25,honiara,-9.4333,159.95,82.45,75,46,6.49,SB,1627165744
26,buala,-8.145,159.5921,80.13,85,94,11.05,SB,1627165744
27,ladario,-19.0047,-57.6017,82.67,33,0,2.82,BR,1627165745
28,hamirpur,25.95,80.15,84.96,75,8,12.41,IN,1627165745
29,avera,33.194,-82.5271,91.44,41,12,6.53,US,1627165746
30,kapaa,22.0752,-159.319,84.18,82,90,5.99,US,1627165746
31,bluff,-46.6,168.3333,45.81,69,100,10.07,NZ,1627165747
32,tuktoyaktuk,69.4541,-133.0374,66.2,45,75,14.97,CA,1627165747
33,kaura namoda,12.5898,6.5779,76.57,79,56,10.54,NG,1627165748
34,busselton,-33.65,115.3333,57.09,71,98,16.96,AU,1627165749
35,shaunavon,49.6501,-108.4181,83.71,16,0,5.59,CA,1627165749
36,kavieng,-2.5744,150.7967,82.83,75,17,9.28,PG,1627165750
37,necochea,-38.5473,-58.7368,48.04,71,97,16.04,AR,1627165750
38,erzin,36.9559,36.2,79.52,87,5,0.49,TR,1627165750
